id,question,answer
1319,How much is the sieve method of gas production used?,major method
1320,Electrolysis of what can be used to produce oxygen and hydrogen?,water
1321,What does the electrolysis of water produce?,oxygen and hydrogen
1322,What type of electric current is needed for electrolysis?,DC
1323,What is the source of oxygen production through electrocatalytic means?,oxides and oxoacids
1324,What other catalysts can be used to produce oxygen?,Chemical
1325,As a euphoric how is oxygen used in bars?,recreational
1326,What is the effect on humans of oxygen?,mild euphoric
1327,What do professional athletes seek to boost from breathing oxygen?,performance
1328,What type of exercise does research show receives a boost in performance from oxygen?,aerobic
1329,What is the most likely effect of breathing oxygen?,placebo
1330,What device is used to treat various conditions such as carbon monoxide poisoning?,Hyperbaric (high-pressure) medicine
1331,What does increased oxygen concentrations in the patient's lungs displace?,carbon monoxide
1332,To what pathogen that causes gas gangrene is oxygen poisonous?,anaerobic bacteria
1333,What occurs after a dive in which a diver decompresses too quickly?,Decompression sickness
1334,In what process is the uptake from oxygen necessary?,respiration
1335,What medical treatment is used to increase oxygen uptake in a patient?,oxygen supplementation
1336,"By decreasing resistance to blood flow in the lungs, what organ's workload  can be eased?",heart
1337,What medical treatment is used to benefit patients with hearth and lung disorders?,Oxygen therapy
1338,What does  oxygen therapy promote the body to take up?,gaseous oxygen.
1339,What characteristic of oxygen causes it to form bonds with other elements?,electronegativity
1340,What is usual form of oxygen bound compounds?,oxides
1341,What is the mineral wustite?,FeO
1342,What does oxygen cause to form on metals?,oxide
1343,What does the film of oxide on metals delay?,corrosion
1344,What event would necessitate airline passengers to need a supplemental supply of oxygen? ,cabin depressurization
1345,What is the type of oxygen production for emergency oxygen in airlines?,chemical
1346,What type of reaction is present in the emergency oxygen generator of an airplane?,exothermic
1347,What gas does the airline exothermic reaction produce?,oxygen gas
1348,"What do oxygen tanks, cryogenics, and chemical compounds serve as for oxygen?",storage
1349,In what state is oxygen shipped in bulk?,liquid
1350,By what means is bulk oxygen shipped?,insulated tankers
1351,In what form is oxygen transported in smaller containers?,compressed gas
1352,What type of organization would need large quantities of pure oxygen?,hospitals
1353,"What type of compounds such as acetone,contain oxygen?",organic solvents
1354,In what group of compounds is oxygen a necessary part?,organic compounds
1355,What function do compounds like phenol and acetone serve in the manufacture of many other substances?,feeder materials
1356,In what compound is oxygen part of a ring arrangement?,Epoxides
1357,How are the compounds that contain oxygen considered in commerce?,important
1358,In what type of molecules are oxygen found?,biomolecules
1359,How many biomolecules contain no oxygen?,Only a few
1360,Which organic compounds contain the greatest amount of oxygen by mass?,carbohydrates
1361,"Besides fats, fatty acids, and amino acids,what other organic compounds contain oxygen?",proteins
1362,In what calcium containing body part is oxygen a part?,bones
1363,What health condition can deep sea diving cause?,Oxygen toxicity
1364,To what can the use of prolonged breathing of oxygen at 60 kPa lead?,pulmonary fibrosis
1365,Pressures greater than what can lead to convulsions?,160 kPa
1366,What is the most feared condition that divers want to avoid?,Acute oxygen toxicity
1367,What physical condition can acute oxygen toxicity cause?,seizures
1368,Why is breathing oxygen in space craft not dangerous to health?,low total pressures
1369,What is the oxygen partial pressure of space suits?,30 kPa
1370,How much of normal is the oxygen breathed in space suits?,1.4 times normal
1371,What si the comparison to sea level with the oxygen level in space suits?,only marginally more
1372,How much damage does breathing oxygen in space conditions cause?,no damage
1373,When can oxygen gas produce a toxic condition?,at elevated partial pressures
1374,At what point does oxygen toxicity begin to happen?,50 kilopascals
1375,To what is 50 kilopascals equal?,50% oxygen
1376,What medical appliance can be a concern for oxygen toxicity?,mechanical ventilators
1377,What percentage of oxygen is usually supplied by a medical mask?,30%–50%
1378,When did the 1973 oil crisis begin?,October 1973
1379,What was the price of oil in March of 1974?,nearly $12
1380,When was the second oil crisis?,1979
1381,What was another term used for the oil crisis?,first oil shock
1382,Who proclaimed the oil embargo?,members of the Organization of Arab Petroleum Exporting Countries
1383,Why did the European nations and Japan separated themselves from United States during the crisis?,to avoid being targeted by the boycott
1384,How did the Nixon administration negotiate with the uncooperative countries?,They arranged for Israel to pull back from the Sinai Peninsula and the Golan Heights.
1385,On what date did Henry Kissinger negotiate an Israeli troop withdrawal from the Sinai Peninsula?,"January 18, 1974,"
1386,When did the Arab oil producers lift the embargo?,March 1974
1387,When did the United States withdraw from the Bretton Woods Accord?,"On August 15, 1971"
1388,"What does it mean when currencies are left to ""float?""","to ""float"" (rise and fall according to market demand)"
1389,Why was there a depreciation of the industrialized nations dollars?,industrialized nations increased their reserves
1390,When did oil start getting priced in the terms of gold?,In September 1971
1391,Why did oil start getting priced in terms of gold?,"oil was priced in dollars, oil producers' real income decreased"
1392,"From 1947 to 1967, how much did the price of oil increase?",risen by less than two percent per year
1393,When did OPEC start to readjust oil prices?,After 1971
1394,When did oil finally returned to its Bretton Woods levels?,1973–1974
1395,The price of oil is usually a stable commodity until when?,Until the oil shock
1396,When did Syria and Egypt launch a surprise attack on Israel?,"On October 6, 1973"
